Level,Date and Time,Source,Event ID,Task Category
Information,07-07-2026 23:13:30,Microsoft-Windows-Security-SPP,16384,Successfully scheduled Software Protection service for re-start at 2126-06-13T17:43:30Z. Reason: RulesEngine.
Information,07-07-2026 23:12:59,Microsoft-Windows-Security-SPP,16394,Offline downlevel migration succeeded.
Information,07-07-2026 23:05:03,Microsoft-Windows-Security-SPP,16384,Successfully scheduled Software Protection service for re-start at 2126-06-13T17:35:03Z. Reason: RulesEngine.
Information,07-07-2026 23:04:33,Microsoft-Windows-Security-SPP,16394,Offline downlevel migration succeeded.
Information,07-07-2026 22:13:16,Microsoft-Windows-Security-SPP,16384,Successfully scheduled Software Protection service for re-start at 2126-06-13T16:43:16Z. Reason: RulesEngine.
Information,07-07-2026 22:12:45,Microsoft-Windows-Security-SPP,16394,Offline downlevel migration succeeded.
Information,07-07-2026 22:07:50,SalomanDock.exe,2,The system cannot find the file specified. 
Information,07-07-2026 22:07:50,SalomanDock.exe,2,The system cannot find the file specified. 
Information,07-07-2026 22:00:30,Microsoft-Windows-Security-SPP,16384,Successfully scheduled Software Protection service for re-start at 2126-06-13T16:30:30Z. Reason: RulesEngine.
Information,07-07-2026 22:00:01,DellTechHub,0,PowerEvent handled successfully by the service.
Information,07-07-2026 22:00:01,Dell SupportAssist Remediation,0,PowerEvent handled successfully by the service.
Information,07-07-2026 22:00:00,Microsoft-Windows-Security-SPP,16394,Offline downlevel migration succeeded.
Information,07-07-2026 21:37:25,Microsoft-Windows-Security-SPP,16384,Successfully scheduled Software Protection service for re-start at 2126-06-13T16:07:25Z. Reason: RulesEngine.
Information,07-07-2026 21:36:55,Microsoft-Windows-Security-SPP,16394,Offline downlevel migration succeeded.
Warning,07-07-2026 21:27:08,VBScriptDeprecationAlert,4096,"The description for Event ID 4096 from source VBScriptDeprecationAlert cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

VBScript is scheduled for deprecation. Our telemetry indicates that your system is currently utilizing VBScript.
We strongly recommend identifying and migrating away from any VBScript dependencies at the earliest.

The following process has been detected as using VBScript. The associated process tree and call stack are provided below to assist in identifying the scenario in which VBScript was invoked.

ProcessName = ""wmic.exe""
ProcessTree = ""WMIC.exe;Code.exe;Code.exe""
CallStack = ""vbscript.dll+0x68806;vbscript.dll+0x5541F;vbscript.dll+0x4004A;msxml6.dll+0x112476;msxml6.dll+0x10F532;msxml6.dll+0x20DDC;msxml6.dll+0x45F3A;msxml6.dll+0xCB607;msxml6.dll+0xCCE95;msxml6.dll+0xCCD5D;wmic.exe+0x276BD;wmic.exe+0x2173E;wmic.exe+0x25D45;wmic.exe+0x3BCD0;wmic.exe+0x3909F;wmic.exe+0x18F4;KERNEL32.DLL+0x2E957;ntdll.dll+0xAAD6C""
ProcessTreeEnhanced = ""WMIC.exe(""wmic os get locale"");Code.exe(""<path>\Mystery <path>\Microsoft VS <path>\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --video-capture-use-gpu-memory-buffer <path>\Mystery <path>\Code"" --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource WMIC.exe(""wmic os get locale"")"");Code.exe(""<path>\Mystery <path>\Microsoft VS <path>\Code.exe"""")""

The message resource is present but the message was not found in the message table
"
Information,07-07-2026 21:26:26,VSS,8224,The VSS service is shutting down due to idle timeout. 
